                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.51099,                0.32019,                0.80584,                0.99567,                 0.9972,                0.99481,                0.90113,                0.51353,                0.31854,                0.80653,              0.0007267,              0.0007267,              0.0007267
                    141,                0.53014,                0.32841,                0.81367,                0.99567,                 0.9972,                0.99481,                0.90113,                0.51353,                0.31854,                0.80653,             0.00072164,             0.00072164,             0.00072164
                    142,                0.52864,                0.33349,                0.80859,                0.99491,                0.99732,                0.99477,                0.89704,                 0.5257,                0.32633,                0.80808,             0.00071659,             0.00071659,             0.00071659
                    143,                0.46019,                0.30535,                0.81619,                0.99506,                0.99769,                0.99475,                0.90269,                0.50481,                0.31792,                0.80764,             0.00071154,             0.00071154,             0.00071154
                    144,                0.50923,                 0.3219,                0.81645,                0.99503,                0.99782,                0.99472,                  0.907,                0.49277,                0.31324,                0.80611,             0.00070649,             0.00070649,             0.00070649
                    145,                0.53074,                0.32815,                0.80308,                0.99503,                0.99782,                0.99472,                  0.907,                0.49277,                0.31324,                0.80611,             0.00070143,             0.00070143,             0.00070143
                    146,                0.51073,                0.33003,                0.81156,                0.99529,                0.99778,                0.99478,                0.90887,                0.49228,                0.31255,                0.80569,             0.00069638,             0.00069638,             0.00069638
                    147,                0.50416,                0.31767,                0.80802,                0.99543,                0.99775,                0.99488,                0.90923,                0.49217,                0.30982,                0.80457,             0.00069133,             0.00069133,             0.00069133
                    148,                 0.5288,                 0.3277,                0.81632,                0.99554,                0.99756,                0.99492,                0.90533,                0.50611,                0.31186,                0.80411,             0.00068628,             0.00068628,             0.00068628
                    149,                0.50514,                0.32014,                0.81277,                0.99554,                0.99756,                0.99492,                0.90533,                0.50611,                0.31186,                0.80411,             0.00068122,             0.00068122,             0.00068122
                    150,                0.49996,                0.31803,                0.81088,                0.99749,                0.99749,                0.99492,                0.90529,                0.49936,                0.30711,                0.80248,             0.00067617,             0.00067617,             0.00067617
                    151,                0.51749,                0.33104,                0.80748,                0.99423,                0.99647,                0.99492,                0.90313,                  0.499,                0.30608,                0.80317,             0.00067112,             0.00067112,             0.00067112
                    152,                0.51644,                0.32605,                   0.81,                0.99678,                0.99196,                 0.9949,                 0.9059,                0.49103,                0.30507,                0.80369,             0.00066607,             0.00066607,             0.00066607
                    153,                0.50044,                0.32122,                0.82079,                0.99678,                0.99196,                 0.9949,                 0.9059,                0.49103,                0.30507,                0.80369,             0.00066101,             0.00066101,             0.00066101
                    154,                0.53931,                0.33493,                0.82095,                0.99638,                0.99213,                0.99488,                0.90649,                0.49356,                0.30713,                0.80356,             0.00065596,             0.00065596,             0.00065596
                    155,                0.49454,                0.30983,                0.80634,                0.99613,                0.99271,                0.99486,                0.90108,                0.51096,                0.31207,                0.80503,             0.00065091,             0.00065091,             0.00065091
                    156,                0.51812,                0.31842,                0.81158,                0.99735,                0.99448,                0.99488,                0.90097,                0.51073,                0.30932,                0.80637,             0.00064586,             0.00064586,             0.00064586
                    157,                0.51618,                 0.3185,                0.81044,                0.99735,                0.99448,                0.99488,                0.90097,                0.51073,                0.30932,                0.80637,              0.0006408,              0.0006408,              0.0006408
