                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.64066,                0.48265,                0.85407,                 0.9786,                0.98014,                0.99078,                 0.8595,                0.55191,                0.40915,                 0.8317,              0.0010753,              0.0010753,              0.0010753
                     77,                0.67545,                0.48958,                0.85988,                0.98258,                0.98029,                0.99128,                0.85972,                0.55171,                0.39848,                 0.8304,              0.0010706,              0.0010706,              0.0010706
                     78,                0.59802,                0.45558,                0.85278,                0.98258,                0.98029,                0.99128,                0.85972,                0.55171,                0.39848,                 0.8304,              0.0010659,              0.0010659,              0.0010659
                     79,                0.60466,                0.46021,                 0.8568,                 0.9853,                0.98082,                0.99223,                0.86095,                0.55421,                0.38906,                 0.8311,              0.0010612,              0.0010612,              0.0010612
                     80,                0.62304,                0.46962,                0.84415,                0.98737,                0.98051,                0.99258,                0.86076,                0.55588,                0.39319,                0.83074,              0.0010565,              0.0010565,              0.0010565
                     81,                0.61558,                0.44541,                0.84578,                0.98737,                0.98051,                0.99258,                0.86076,                0.55588,                0.39319,                0.83074,              0.0010517,              0.0010517,              0.0010517
                     82,                0.60204,                0.45052,                0.85097,                0.98186,                0.98173,                0.99206,                0.86578,                0.54488,                0.38886,                0.83023,               0.001047,               0.001047,               0.001047
                     83,                 0.6229,                0.47003,                0.85771,                0.98609,                0.97939,                0.99244,                0.86294,                0.55719,                0.38898,                0.83074,              0.0010423,              0.0010423,              0.0010423
                     84,                0.61289,                0.45521,                0.84673,                0.98609,                0.97939,                0.99244,                0.86294,                0.55719,                0.38898,                0.83074,              0.0010376,              0.0010376,              0.0010376
                     85,                0.60553,                0.44852,                0.84896,                0.99021,                0.98211,                0.99285,                0.85871,                0.56169,                0.39306,                 0.8291,              0.0010329,              0.0010329,              0.0010329
                     86,                0.61466,                0.44724,                0.85418,                0.99021,                0.98211,                0.99285,                0.85871,                0.56169,                0.39306,                 0.8291,              0.0010282,              0.0010282,              0.0010282
                     87,                0.62863,                0.46477,                0.84959,                0.98919,                0.98343,                0.99261,                0.87224,                 0.5343,                0.38291,                0.82721,              0.0010234,              0.0010234,              0.0010234
                     88,                 0.6205,                0.46693,                0.86266,                0.98278,                0.98691,                0.99234,                0.87548,                0.52256,                0.37963,                0.82519,              0.0010187,              0.0010187,              0.0010187
                     89,                0.62003,                0.46026,                0.84421,                0.98278,                0.98691,                0.99234,                0.87548,                0.52256,                0.37963,                0.82519,               0.001014,               0.001014,               0.001014
                     90,                0.61461,                0.46249,                0.84369,                0.98067,                0.98624,                 0.9925,                0.86551,                0.54524,                0.39196,                0.82601,              0.0010093,              0.0010093,              0.0010093
                     91,                0.63049,                0.46211,                0.84514,                0.98678,                 0.9885,                0.99322,                0.86663,                 0.5465,                0.38953,                0.82772,              0.0010046,              0.0010046,              0.0010046
                     92,                0.62549,                0.45339,                0.83894,                0.98678,                 0.9885,                0.99322,                0.86663,                 0.5465,                0.38953,                0.82772,             0.00099987,             0.00099987,             0.00099987
                     93,                0.64368,                0.44728,                0.84516,                0.99075,                0.98023,                 0.9937,                0.85611,                0.57475,                0.39414,                0.83266,             0.00099516,             0.00099516,             0.00099516
                     94,                0.64814,                0.44798,                0.85167,                0.97823,                0.97386,                0.99174,                0.85603,                0.56161,                0.41309,                0.82961,             0.00099044,             0.00099044,             0.00099044
                     95,                0.62207,                0.46633,                0.85185,                0.97823,                0.97386,                0.99174,                0.85603,                0.56161,                0.41309,                0.82961,             0.00098572,             0.00098572,             0.00098572
                     96,                0.64867,                0.46489,                0.85727,                0.97435,                0.97692,                0.98904,                0.86081,                0.54574,                0.40904,                0.82714,             0.00098101,             0.00098101,             0.00098101
                     97,                0.61659,                0.45368,                0.85467,                 0.9783,                0.98637,                0.99314,                0.87107,                0.53481,                0.38693,                0.82439,             0.00097629,             0.00097629,             0.00097629
                     98,                0.53863,                0.41749,                0.83518,                 0.9783,                0.98637,                0.99314,                0.87107,                0.53481,                0.38693,                0.82439,             0.00097158,             0.00097158,             0.00097158
                     99,                0.63361,                0.45011,                0.83807,                0.97948,                0.98564,                0.99319,                0.87478,                0.53111,                0.38867,                0.82615,             0.00096686,             0.00096686,             0.00096686
                    100,                0.61282,                0.45157,                0.84196,                0.98363,                0.98852,                0.99342,                0.88092,                0.52383,                0.38498,                0.82451,             0.00096215,             0.00096215,             0.00096215
                    101,                 0.6386,                0.44784,                0.84721,                0.98363,                0.98852,                0.99342,                0.88092,                0.52383,                0.38498,                0.82451,             0.00095743,             0.00095743,             0.00095743
                    102,                0.60924,                0.43869,                0.84095,                0.98972,                0.98782,                0.99348,                0.87129,                0.54969,                0.38839,                0.82824,             0.00095271,             0.00095271,             0.00095271
                    103,                0.62279,                0.43583,                0.84942,                0.99292,                0.98268,                0.99354,                0.87373,                0.53562,                0.39492,                0.82705,               0.000948,               0.000948,               0.000948
                    104,                0.61943,                0.44071,                 0.8537,                0.99292,                0.98268,                0.99354,                0.87373,                0.53562,                0.39492,                0.82705,             0.00094328,             0.00094328,             0.00094328
                    105,                0.62337,                0.43267,                0.84686,                0.99073,                 0.9822,                0.99361,                 0.8722,                0.53167,                0.38663,                0.82523,             0.00093857,             0.00093857,             0.00093857
                    106,                0.62811,                 0.4333,                0.85479,                 0.9927,                0.98346,                0.99376,                0.87156,                0.54082,                0.37355,                0.82616,             0.00093385,             0.00093385,             0.00093385
                    107,                0.54864,                0.41359,                0.85034,                 0.9927,                0.98346,                0.99376,                0.87156,                0.54082,                0.37355,                0.82616,             0.00092914,             0.00092914,             0.00092914
                    108,                0.63377,                0.44212,                 0.8507,                0.99258,                 0.9875,                0.99393,                0.88179,                0.51741,                0.36289,                 0.8215,             0.00092442,             0.00092442,             0.00092442
                    109,                0.57796,                0.41276,                0.83857,                0.99104,                0.98835,                0.99396,                0.88458,                0.51072,                0.36285,                0.82029,              0.0009197,              0.0009197,              0.0009197
                    110,                0.57405,                0.42459,                0.84579,                0.99104,                0.98835,                0.99396,                0.88458,                0.51072,                0.36285,                0.82029,             0.00091499,             0.00091499,             0.00091499
                    111,                0.54765,                0.41917,                0.85322,                0.99159,                0.98715,                0.99409,                0.88335,                0.51346,                0.35636,                0.81884,             0.00091027,             0.00091027,             0.00091027
                    112,                0.59291,                0.43014,                0.86229,                0.99359,                0.98422,                 0.9941,                0.87638,                0.52897,                0.35547,                0.81995,             0.00090556,             0.00090556,             0.00090556
                    113,                0.59842,                0.41641,                 0.8418,                0.99359,                0.98422,                 0.9941,                0.87638,                0.52897,                0.35547,                0.81995,             0.00090084,             0.00090084,             0.00090084
                    114,                0.57817,                0.40367,                0.83659,                  0.993,                0.98401,                0.99406,                0.88138,                0.50874,                0.35933,                0.81792,             0.00089613,             0.00089613,             0.00089613
                    115,                0.54882,                0.39485,                0.83145,                0.99264,                0.98638,                0.99401,                0.88347,                0.50554,                0.35887,                0.81715,             0.00089141,             0.00089141,             0.00089141
                    116,                0.61074,                 0.4144,                0.84015,                0.99264,                0.98638,                0.99401,                0.88347,                0.50554,                0.35887,                0.81715,             0.00088669,             0.00088669,             0.00088669
                    117,                 0.5758,                0.39599,                0.83808,                0.99427,                 0.9869,                0.99404,                0.88777,                 0.4989,                0.35413,                0.81761,             0.00088198,             0.00088198,             0.00088198
                    118,                0.56485,                0.39649,                0.83742,                0.99427,                 0.9869,                0.99404,                0.88777,                 0.4989,                0.35413,                0.81761,             0.00087726,             0.00087726,             0.00087726
                    119,                0.58022,                0.40995,                0.83869,                0.98902,                0.98903,                0.99418,                0.87984,                 0.5113,                0.35714,                0.81912,             0.00087255,             0.00087255,             0.00087255
                    120,                0.56758,                0.41181,                0.83729,                0.98341,                0.98561,                0.99284,                0.87811,                0.51282,                   0.36,                0.81859,             0.00086783,             0.00086783,             0.00086783
                    121,                0.58195,                0.42305,                0.83262,                0.98341,                0.98561,                0.99284,                0.87811,                0.51282,                   0.36,                0.81859,             0.00086312,             0.00086312,             0.00086312
                    122,                0.56867,                0.40383,                0.82963,                0.99007,                0.98958,                0.99425,                0.88484,                0.50617,                0.35341,                0.81811,              0.0008584,              0.0008584,              0.0008584
                    123,                0.53004,                 0.3976,                0.83626,                0.98898,                0.99051,                0.99408,                0.88665,                0.49868,                0.34709,                0.81706,             0.00085368,             0.00085368,             0.00085368
                    124,                0.59259,                0.39381,                0.83322,                0.98898,                0.99051,                0.99408,                0.88665,                0.49868,                0.34709,                0.81706,             0.00084897,             0.00084897,             0.00084897
                    125,                0.54018,                0.38093,                0.82668,                0.98408,                0.99112,                0.99358,                0.88361,                0.50231,                0.34515,                0.81704,             0.00084425,             0.00084425,             0.00084425
                    126,                0.58114,                0.40766,                 0.8355,                0.98616,                0.98824,                0.99341,                0.87408,                 0.5212,                0.34777,                0.81736,             0.00083954,             0.00083954,             0.00083954
                    127,                 0.5595,                0.38628,                0.82779,                0.98616,                0.98824,                0.99341,                0.87408,                 0.5212,                0.34777,                0.81736,             0.00083482,             0.00083482,             0.00083482
                    128,                0.54655,                0.39371,                0.82717,                0.98109,                0.98689,                0.99121,                0.87674,                0.50935,                0.35114,                0.81562,             0.00083011,             0.00083011,             0.00083011
                    129,                0.58885,                0.40968,                0.82942,                0.98646,                0.98608,                0.99277,                0.87837,                0.50591,                 0.3574,                0.81405,             0.00082539,             0.00082539,             0.00082539
                    130,                0.56657,                0.40279,                0.83727,                0.98646,                0.98608,                0.99277,                0.87837,                0.50591,                 0.3574,                0.81405,             0.00082067,             0.00082067,             0.00082067
                    131,                0.56816,                0.40833,                0.83825,                0.98993,                0.99016,                0.99338,                 0.8814,                0.50183,                0.34941,                0.81319,             0.00081596,             0.00081596,             0.00081596
                    132,                0.54048,                0.38131,                0.82956,                0.99128,                0.98929,                0.99343,                 0.8898,                0.49574,                0.34267,                0.81338,             0.00081124,             0.00081124,             0.00081124
                    133,                0.55597,                0.38686,                0.82792,                0.99128,                0.98929,                0.99343,                 0.8898,                0.49574,                0.34267,                0.81338,             0.00080653,             0.00080653,             0.00080653
                    134,                0.54727,                0.38858,                0.84075,                0.99052,                0.98896,                0.99294,                0.88348,                0.51053,                0.34751,                0.81302,             0.00080181,             0.00080181,             0.00080181
                    135,                0.56627,                0.40222,                0.83353,                0.98884,                 0.9875,                0.99223,                0.87901,                0.52553,                0.36315,                0.81471,              0.0007971,              0.0007971,              0.0007971
